value,created_at
672,07/29/17 02:20:09 673847
474,07/29/17 02:20:09 675348
496,07/29/17 02:20:09 675643
526,07/29/17 02:20:09 675899
580,07/29/17 02:20:09 676151
590,07/29/17 02:20:09 676409
547,07/29/17 02:20:09 676663
528,07/29/17 02:20:09 676918
177,07/29/17 02:20:09 677172
447,07/29/17 02:20:09 677422
680,07/29/17 02:20:09 677672
460,07/29/17 02:20:09 677924
50ı560,07/29/17 02:20:11 144414
532,07/29/17 02:20:11 145109
396,07/29/17 02:20:11 146666
545,07/29/17 02:20:11 160299
551,07/29/17 02:20:11 160723
489,07/29/17 02:20:11 161001
599,07/29/17 02:20:11 176918
653,07/29/17 02:20:11 177447
494,07/29/17 02:20:11 177775
584,07/29/17 02:20:11 192240
557,07/29/17 02:20:11 192815
473,07/29/17 02:20:11 193115
444,07/29/17 02:20:11 208378
528,07/29/17 02:20:11 208962
524,07/29/17 02:20:11 209314
476,07/29/17 02:20:11 224539
573,07/29/17 02:20:11 225196
551,07/29/17 02:20:11 225492
577,07/29/17 02:20:11 240184
534,07/29/17 02:20:11 240715
549,07/29/17 02:20:11 241022
477,07/29/17 02:20:11 256289
531,07/29/17 02:20:11 257033
419,07/29/17 02:20:11 257427
544,07/29/17 02:20:11 272155
508,07/29/17 02:20:11 272657
579,07/29/17 02:20:11 272951
518,07/29/17 02:20:11 288239
375,07/29/17 02:20:11 288878
547,07/29/17 02:20:11 289198
523,07/29/17 02:20:11 304276
660,07/29/17 02:20:11 304986
567,07/29/17 02:20:11 305395
488,07/29/17 02:20:11 321101
588,07/29/17 02:20:11 321655
544,07/29/17 02:20:11 321954
482,07/29/17 02:20:11 336079
593,07/29/17 02:20:11 336543
530,07/29/17 02:20:11 336836
580,07/29/17 02:20:11 352110
593,07/29/17 02:20:11 352904
591,07/29/17 02:20:11 353309
487,07/29/17 02:20:11 353659
541,07/29/17 02:20:11 371081
675,07/29/17 02:20:11 371569
523,07/29/17 02:20:11 371878
484,07/29/17 02:20:11 384295
553,07/29/17 02:20:11 384944
524,07/29/17 02:20:11 385321
243,07/29/17 02:20:11 400231
305,07/29/17 02:20:11 400866
176,07/29/17 02:20:11 401272
581,07/29/17 02:20:11 416213
527,07/29/17 02:20:11 416749
582,07/29/17 02:20:11 417088
424,07/29/17 02:20:11 432205
486,07/29/17 02:20:11 432682
